20210813 09:58:02,22.2,57.2,3686,7.6,49.0,3001,608,3
20210813 09:58:03,22.3,57.5,3701,7.5,49.0,3001,716,4
20210813 09:58:04,22.3,57.8,3722,7.6,49.0,3001,1260,6
20210813 09:58:05,19.6,57.8,3722,7.6,49.0,3001,1343,7
20210813 09:58:06,18.9,57.8,3722,7.7,49.0,3001,717,4
20210813 09:58:07,18.6,57.8,3722,7.5,49.0,3001,798,4
20210813 09:58:08,19.0,57.8,3722,7.6,49.0,3001,717,4
20210813 09:58:09,18.9,57.8,3722,7.6,49.0,3001,718,4
20210813 09:58:10,18.7,57.8,3722,7.6,49.0,3001,1155,6
20210813 09:58:11,18.7,57.8,3722,7.6,49.0,3001,1343,7
20210813 09:58:13,19.0,57.8,3722,7.6,49.0,3001,718,4
20210813 09:58:14,18.7,57.8,3722,7.5,49.0,3001,798,4
20210813 09:58:15,18.6,57.7,3720,7.5,49.0,3001,719,4
20210813 09:58:16,18.8,57.8,3720,7.6,49.0,3001,721,4
20210813 09:58:17,18.6,57.7,3722,7.5,49.0,3001,1018,5
20210813 09:58:18,18.8,57.8,3720,7.6,49.0,3001,935,5
20210813 09:58:19,18.8,57.8,3722,7.6,49.0,3001,720,4
20210813 09:58:20,18.8,57.7,3722,7.5,49.0,3003,936,5
20210813 09:58:21,18.4,57.8,3722,7.6,49.0,3001,717,4
20210813 09:58:22,18.6,57.7,3720,7.6,49.0,3001,717,4
20210813 09:58:23,19.0,57.8,3720,7.6,49.0,3001,1344,7
20210813 09:58:24,18.8,57.8,3722,7.6,49.0,3001,1016,5
20210813 09:58:25,18.3,57.8,3722,7.6,49.0,3001,720,4
20210813 09:58:26,18.6,57.8,3722,7.6,49.0,3001,719,4
20210813 09:58:27,18.5,57.8,3722,7.6,49.0,3001,719,4
20210813 09:58:28,18.2,57.7,3720,7.6,49.0,3001,800,4
20210813 09:58:29,18.3,57.7,3720,7.6,49.0,3001,1259,6
20210813 09:58:30,18.6,57.8,3722,7.5,49.0,3001,1152,6
20210813 09:58:31,18.4,57.8,3720,7.6,49.0,3001,799,4
20210813 09:58:32,18.3,57.7,3720,7.6,49.0,3003,798,4
20210813 09:58:33,18.3,57.7,3720,7.6,49.0,3001,625,3
20210813 09:58:34,18.4,57.8,3720,7.6,49.0,3001,798,4
20210813 09:58:35,18.3,57.8,3722,7.6,49.0,3001,1261,6
20210813 09:58:36,18.3,57.7,3720,7.6,49.0,3001,720,4
20210813 09:58:37,18.6,57.8,3722,7.5,49.0,3001,800,4
20210813 09:58:38,18.3,57.7,3720,7.5,49.0,3001,800,4
20210813 09:58:39,18.3,57.7,3720,7.6,49.0,3001,718,4
20210813 09:58:40,18.4,57.8,3722,7.6,49.0,3001,723,4
20210813 09:58:41,18.4,57.7,3720,7.6,49.0,3001,1257,6
20210813 09:58:42,18.3,57.7,3720,7.6,49.0,3003,718,4
20210813 09:58:43,18.4,57.7,3720,7.6,49.0,3001,800,4
20210813 09:58:44,18.6,57.8,3720,7.5,49.0,3001,609,3
20210813 09:58:45,18.3,57.7,3720,7.5,49.0,3001,716,4
20210813 09:58:46,18.5,57.8,3722,7.6,49.0,3001,716,4
20210813 09:58:47,18.5,57.8,3722,7.6,49.0,3001,1345,7
20210813 09:58:48,18.5,57.8,3722,7.6,49.0,3001,800,4
20210813 09:58:49,18.3,57.8,3722,7.6,49.0,3001,800,4
20210813 09:58:51,18.3,57.8,3722,7.6,49.0,3001,610,3
20210813 09:58:52,18.3,57.8,3722,7.6,49.0,3001,717,4
20210813 09:58:53,18.4,57.8,3722,7.5,49.0,3001,1015,5
20210813 09:58:54,18.3,57.8,3722,7.5,49.0,3001,1345,7
20210813 09:58:55,18.3,57.8,3722,7.6,49.0,3001,896,4
20210813 09:58:56,18.4,57.8,3722,7.7,49.0,3001,800,4
20210813 09:58:57,18.3,57.8,3722,7.6,49.0,3001,713,4
20210813 09:58:58,18.3,57.8,3722,7.6,49.0,3001,716,4
20210813 09:58:59,18.4,57.8,3722,7.6,49.0,3001,935,5
20210813 09:59:00,18.5,57.8,3722,7.5,49.0,3001,1345,7
20210813 09:59:01,18.4,57.8,3722,7.6,49.0,3001,718,4
20210813 09:59:02,18.3,57.8,3722,7.6,49.0,3001,933,5
20210813 09:59:03,18.5,57.8,3722,7.6,49.0,3001,717,4
20210813 09:59:04,18.3,57.8,3722,7.6,49.0,3001,719,4
20210813 09:59:05,18.3,57.8,3722,7.7,49.0,3001,935,5
20210813 09:59:06,18.5,57.8,3722,7.6,49.0,3001,1153,6
20210813 09:59:07,18.4,57.8,3722,7.6,49.0,3001,720,4
20210813 09:59:08,18.3,57.8,3722,7.6,49.0,3001,806,4
20210813 09:59:09,18.5,57.8,3722,7.6,49.0,3001,609,3
20210813 09:59:10,18.6,57.8,3722,7.6,49.0,3003,718,4
20210813 09:59:11,18.7,57.8,3722,7.6,49.0,3003,1261,6
20210813 09:59:12,18.4,57.8,3722,7.7,49.0,3001,1262,6
20210813 09:59:13,18.4,57.8,3722,7.5,49.0,3001,718,4
20210813 09:59:14,18.4,57.8,3722,7.5,49.0,3001,798,4
20210813 09:59:15,18.3,57.8,3722,7.7,49.0,3001,609,3
20210813 09:59:16,18.3,57.8,3722,7.6,49.0,3001,800,4
20210813 09:59:17,18.5,57.8,3722,7.6,49.0,3001,1153,6
20210813 09:59:18,18.3,57.8,3722,7.6,49.0,3001,1261,6
20210813 09:59:19,18.3,57.8,3722,7.7,49.0,3001,801,4
20210813 09:59:20,18.4,57.8,3722,7.5,49.0,3001,800,4
20210813 09:59:21,18.4,57.8,3722,7.6,49.0,3001,716,4
20210813 09:59:22,18.7,57.8,3722,7.6,49.0,3001,716,4
20210813 09:59:23,18.7,57.8,3722,7.6,49.0,3001,1155,6
20210813 09:59:24,18.7,57.8,3722,7.6,49.0,3001,800,4
20210813 09:59:26,18.5,57.8,3722,7.6,49.0,3001,799,4
20210813 09:59:27,18.3,57.8,3722,7.6,49.0,3001,615,3
20210813 09:59:28,18.3,57.8,3722,7.5,49.0,3001,718,4
20210813 09:59:29,18.4,57.8,3722,7.6,49.0,3001,715,4
20210813 09:59:30,18.3,57.8,3722,7.7,49.0,3003,1343,7
20210813 09:59:31,18.3,57.8,3720,7.6,49.0,3001,799,4
20210813 09:59:32,18.4,57.8,3722,7.6,49.0,3001,798,4
20210813 09:59:33,18.3,57.8,3722,7.7,49.0,3001,720,4
20210813 09:59:34,18.2,57.8,3722,7.6,49.0,3001,718,4
20210813 09:59:35,18.3,57.8,3722,7.6,49.0,3001,1017,5
20210813 09:59:36,18.3,57.8,3722,7.6,49.0,3001,1345,7
20210813 09:59:37,18.2,57.8,3722,7.7,49.0,3001,830,4
20210813 09:59:38,18.2,57.8,3722,7.7,48.9,3001,936,5
20210813 09:59:39,18.3,57.8,3722,7.6,49.0,3001,719,4
20210813 09:59:40,18.3,57.8,3722,7.7,49.0,3001,718,4
20210813 09:59:41,18.2,57.8,3722,7.6,49.0,3001,933,5
20210813 09:59:42,18.2,57.8,3722,7.6,49.0,3001,1262,6
20210813 09:59:43,18.4,57.8,3722,7.6,49.0,3001,718,4
20210813 09:59:44,18.3,57.8,3722,7.7,49.0,3001,800,4
20210813 09:59:45,18.3,57.8,3722,7.6,49.0,3001,718,4
20210813 09:59:46,18.2,57.8,3722,7.6,48.9,3001,718,4
20210813 09:59:47,18.3,57.8,3722,7.7,49.0,3001,936,5
20210813 09:59:48,18.3,57.8,3722,7.6,49.0,3001,1153,6
20210813 09:59:49,18.1,57.8,3722,7.6,49.0,3001,718,4
20210813 09:59:50,18.2,57.8,3722,7.6,49.0,3001,798,4
20210813 09:59:51,18.3,57.8,3722,7.6,49.0,3001,610,3
20210813 09:59:52,18.3,57.8,3722,7.7,49.0,3001,716,4
20210813 09:59:53,18.1,57.8,3722,7.7,49.0,3001,1261,6
20210813 09:59:54,18.2,57.8,3722,7.6,49.0,3001,1261,6
20210813 09:59:55,18.3,57.8,3722,7.7,49.0,3001,717,4
20210813 09:59:56,18.2,57.8,3722,7.6,49.0,3001,798,4
20210813 09:59:57,18.3,57.8,3722,7.5,49.0,3001,610,3
20210813 09:59:58,18.3,57.8,3722,7.6,49.0,3001,789,4
20210813 09:59:59,18.3,57.8,3722,7.6,49.0,3001,1153,6
20210813 10:00:00,18.1,57.8,3722,7.7,49.0,3001,1262,6
20210813 10:00:02,18.1,57.8,3722,7.6,49.0,3001,800,4
20210813 10:00:03,18.3,57.8,3722,7.6,49.0,3001,800,4
20210813 10:00:04,18.2,57.8,3722,7.7,49.0,3001,611,3
20210813 10:00:05,18.3,57.8,3722,7.7,49.0,3001,718,4
20210813 10:00:06,18.3,57.8,3722,7.5,49.0,3001,1153,6
20210813 10:00:07,18.3,57.8,3722,7.7,49.0,3001,799,4
20210813 10:00:08,18.1,57.8,3722,7.7,49.0,3001,800,4
20210813 10:00:09,18.1,57.8,3722,7.6,49.0,3001,799,4
20210813 10:00:10,18.2,57.8,3722,7.6,49.0,3001,716,4
20210813 10:00:11,18.3,57.8,3722,7.6,49.0,3001,717,4
20210813 10:00:12,18.1,57.8,3722,7.6,49.0,3001,1245,6
20210813 10:00:13,18.1,57.8,3722,7.6,49.0,3001,797,4
20210813 10:00:14,18.2,57.8,3722,7.6,49.0,3001,798,4
20210813 10:00:15,18.2,57.8,3722,7.6,49.0,3001,718,4
20210813 10:00:16,18.5,57.8,3722,7.6,49.0,3001,717,4
20210813 10:00:17,18.7,57.8,3722,7.6,49.0,3001,970,5
20210813 10:00:18,18.3,57.8,3722,7.7,49.0,2999,1345,7
20210813 10:00:19,18.2,57.8,3722,7.7,49.0,3001,931,5
20210813 10:00:20,18.1,57.8,3722,7.6,49.0,3001,800,4
20210813 10:00:21,18.1,57.8,3722,7.6,48.9,3001,717,4
20210813 10:00:22,18.3,57.8,3722,7.6,49.0,3001,718,4
20210813 10:00:23,18.2,57.7,3720,7.6,49.0,3001,933,5
20210813 10:00:24,18.1,57.8,3722,7.6,48.9,3001,1262,6
20210813 10:00:25,18.1,57.8,3722,7.7,49.0,2999,715,4
20210813 10:00:26,18.2,57.8,3722,7.7,49.0,3001,802,4
20210813 10:00:27,18.1,57.8,3722,7.5,49.0,3001,718,4
20210813 10:00:28,18.1,57.8,3720,7.6,49.0,3001,720,4
20210813 10:00:29,18.2,57.8,3722,7.7,49.0,3001,936,5
20210813 10:00:30,18.3,57.8,3722,7.7,49.0,2999,1262,6
20210813 10:00:31,18.1,57.8,3720,7.6,49.0,3001,717,4
20210813 10:00:32,18.1,57.8,3722,7.7,49.0,3001,800,4
20210813 10:00:33,18.3,57.8,3722,7.7,49.0,3001,719,4
20210813 10:00:34,18.3,57.8,3722,7.6,48.9,2999,718,4
20210813 10:00:35,18.2,57.8,3722,7.7,48.9,2999,798,4
20210813 10:00:36,18.1,57.8,3720,7.7,49.0,3001,1150,6
20210813 10:00:37,18.2,57.8,3722,7.5,48.9,3001,716,4
